"name"	"correct"
"aime_1983_p1"	"0"
"aime_1983_p2"	"2"
"aime_1983_p3"	"0"
"aime_1984_p1"	"1"
"aime_1984_p7"	"0"
"aime_1987_p5"	"0"
"aime_1988_p8"	"0"
"aime_1989_p8"	"25"
"aime_1990_p15"	"0"
"aime_1990_p4"	"8"
"aime_1991_p9"	"0"
"aime_1994_p3"	"0"
"aime_1995_p7"	"0"
"aime_1997_p9"	"0"
"aime_1999_p11"	"0"
"algebra_2varlineareq_fp3zeq11_3tfm1m5zeqn68_feqn10_zeq7"	"0"
"algebra_9onxpypzleqsum2onxpy"	"9"
"algebra_abpbcpcageq3_sumaonsqrtapbgeq3onsqrt2"	"0"
"algebra_absapbon1pabsapbleqsumabsaon1pabsa"	"1"
"algebra_absxm1pabsxpabsxp1eqxp2_0leqxleq1"	"1"
"algebra_amgm_sum1toneqn_prod1tonleq1"	"0"
"algebra_amgm_sumasqdivbgeqsuma"	"4"
"algebra_apbmpcneq0_aeq0anbeq0anceq0"	"0"
"algebra_apbon2pownleqapownpbpowon2"	"0"
"algebra_apbpceq2_abpbcpcaeq1_aleq1on3anbleq1ancleq4on3"	"8"
"algebra_bleqa_apbon2msqrtableqambsqon8b"	"0"
"algebra_cubrtrp1oncubrtreq3_rcubp1onrcubeq5778"	"0"
"algebra_ineq_nto1onlt2m1on"	"0"
"algebra_others_exirrpowirrrat"	"0"
"algebra_sqineq_at2malt1"	"24"
"algebra_sqineq_unitcircatbpabsamblt1"	"10"
"algebra_sqineq_unitcircatbpamblt1"	"23"
"algebra_sum1onsqrt2to1onsqrt10000lt198"	"0"
"amc12_2000_p1"	"0"
"amc12_2000_p12"	"0"
"amc12_2000_p20"	"0"
"amc12_2000_p6"	"3"
"amc12_2001_p21"	"0"
"amc12_2001_p5"	"5"
"amc12a_2002_p13"	"0"
"amc12a_2002_p6"	"14"
"amc12a_2003_p23"	"0"
"amc12a_2003_p5"	"4"
"amc12a_2008_p25"	"0"
"amc12a_2009_p6"	"0"
"amc12a_2009_p7"	"0"
"amc12a_2013_p4"	"15"
"amc12a_2019_p12"	"0"
"amc12a_2020_p10"	"0"
"amc12a_2020_p15"	"0"
"amc12a_2020_p25"	"0"
"amc12a_2020_p4"	"0"
"amc12a_2020_p7"	"0"
"amc12a_2020_p9"	"0"
"amc12a_2021_p12"	"0"
"amc12a_2021_p14"	"0"
"amc12a_2021_p18"	"0"
"amc12a_2021_p19"	"0"
"amc12a_2021_p22"	"0"
"amc12a_2021_p25"	"0"
"amc12a_2021_p3"	"8"
"amc12a_2021_p8"	"0"
"amc12a_2021_p9"	"0"
"amc12b_2002_p19"	"17"
"amc12b_2002_p2"	"19"
"amc12b_2002_p4"	"0"
"amc12b_2002_p7"	"1"
"amc12b_2020_p13"	"0"
"amc12b_2020_p2"	"21"
"amc12b_2020_p21"	"0"
"amc12b_2020_p22"	"0"
"amc12b_2020_p6"	"0"
"amc12b_2021_p1"	"0"
"amc12b_2021_p13"	"0"
"amc12b_2021_p18"	"0"
"amc12b_2021_p3"	"0"
"amc12b_2021_p4"	"3"
"amc12b_2021_p9"	"0"
"imo_1959_p1"	"1"
"imo_1960_p2"	"0"
"imo_1962_p2"	"0"
"imo_1963_p5"	"0"
"imo_1964_p2"	"19"
"imo_1965_p2"	"0"
"imo_1968_p5_1"	"0"
"imo_1969_p2"	"0"
"imo_1974_p3"	"0"
"imo_1977_p6"	"0"
"imo_1981_p6"	"0"
"imo_1982_p1"	"0"
"imo_1983_p6"	"2"
"imo_1984_p6"	"0"
"imo_1985_p6"	"0"
"imo_1992_p1"	"0"
"imo_1997_p5"	"0"
"imo_2001_p6"	"0"
"imo_2019_p1"	"0"
"imosl_2007_algebra_p6"	"0"
"induction_11div10tonmn1ton"	"9"
"induction_12dvd4expnp1p20"	"12"
"induction_1pxpownlt1pnx"	"0"
"induction_nfactltnexpnm1ngt3"	"0"
"induction_pord1p1on2powklt5on2"	"0"
"induction_pprime_pdvdapowpma"	"0"
"induction_prod1p1onk3le3m1onn"	"0"
"induction_sumkexp3eqsumksq"	"0"
"mathd_algebra_107"	"20"
"mathd_algebra_113"	"19"
"mathd_algebra_114"	"0"
"mathd_algebra_125"	"17"
"mathd_algebra_129"	"15"
"mathd_algebra_137"	"0"
"mathd_algebra_139"	"14"
"mathd_algebra_141"	"18"
"mathd_algebra_142"	"17"
"mathd_algebra_143"	"17"
"mathd_algebra_148"	"25"
"mathd_algebra_153"	"0"
"mathd_algebra_156"	"3"
"mathd_algebra_158"	"0"
"mathd_algebra_160"	"21"
"mathd_algebra_17"	"0"
"mathd_algebra_170"	"0"
"mathd_algebra_171"	"25"
"mathd_algebra_176"	"26"
"mathd_algebra_184"	"0"
"mathd_algebra_188"	"7"
"mathd_algebra_196"	"0"
"mathd_algebra_208"	"0"
"mathd_algebra_209"	"1"
"mathd_algebra_215"	"1"
"mathd_algebra_24"	"29"
"mathd_algebra_246"	"11"
"mathd_algebra_263"	"8"
"mathd_algebra_270"	"3"
"mathd_algebra_275"	"0"
"mathd_algebra_276"	"0"
"mathd_algebra_288"	"0"
"mathd_algebra_289"	"0"
"mathd_algebra_293"	"0"
"mathd_algebra_296"	"17"
"mathd_algebra_302"	"14"
"mathd_algebra_304"	"24"
"mathd_algebra_313"	"0"
"mathd_algebra_314"	"23"
"mathd_algebra_320"	"0"
"mathd_algebra_329"	"27"
"mathd_algebra_33"	"12"
"mathd_algebra_332"	"0"
"mathd_algebra_338"	"2"
"mathd_algebra_342"	"0"
"mathd_algebra_346"	"20"
"mathd_algebra_354"	"15"
"mathd_algebra_359"	"25"
"mathd_algebra_362"	"0"
"mathd_algebra_388"	"21"
"mathd_algebra_392"	"0"
"mathd_algebra_398"	"20"
"mathd_algebra_400"	"21"
"mathd_algebra_412"	"22"
"mathd_algebra_419"	"28"
"mathd_algebra_427"	"10"
"mathd_algebra_432"	"26"
"mathd_algebra_44"	"20"
"mathd_algebra_440"	"24"
"mathd_algebra_441"	"25"
"mathd_algebra_452"	"3"
"mathd_algebra_459"	"0"
"mathd_algebra_478"	"7"
"mathd_algebra_484"	"2"
"mathd_algebra_487"	"0"
"mathd_algebra_513"	"26"
"mathd_algebra_598"	"0"
"mathd_algebra_756"	"0"
"mathd_algebra_76"	"0"
"mathd_algebra_80"	"7"
"mathd_numbertheory_100"	"3"
"mathd_numbertheory_1124"	"19"
"mathd_numbertheory_12"	"12"
"mathd_numbertheory_127"	"7"
"mathd_numbertheory_135"	"3"
"mathd_numbertheory_150"	"0"
"mathd_numbertheory_175"	"21"
"mathd_numbertheory_185"	"20"
"mathd_numbertheory_207"	"24"
"mathd_numbertheory_212"	"18"
"mathd_numbertheory_222"	"2"
"mathd_numbertheory_227"	"0"
"mathd_numbertheory_229"	"18"
"mathd_numbertheory_233"	"4"
"mathd_numbertheory_234"	"0"
"mathd_numbertheory_235"	"26"
"mathd_numbertheory_237"	"16"
"mathd_numbertheory_239"	"14"
"mathd_numbertheory_247"	"17"
"mathd_numbertheory_254"	"21"
"mathd_numbertheory_277"	"0"
"mathd_numbertheory_293"	"15"
"mathd_numbertheory_296"	"0"
"mathd_numbertheory_299"	"27"
"mathd_numbertheory_3"	"20"
"mathd_numbertheory_314"	"0"
"mathd_numbertheory_320"	"13"
"mathd_numbertheory_321"	"5"
"mathd_numbertheory_328"	"22"
"mathd_numbertheory_34"	"17"
"mathd_numbertheory_341"	"2"
"mathd_numbertheory_342"	"19"
"mathd_numbertheory_343"	"0"
"mathd_numbertheory_345"	"18"
"mathd_numbertheory_353"	"1"
"mathd_numbertheory_427"	"0"
"mathd_numbertheory_430"	"0"
"mathd_numbertheory_435"	"0"
"mathd_numbertheory_447"	"13"
"mathd_numbertheory_451"	"0"
"mathd_numbertheory_457"	"1"
"mathd_numbertheory_483"	"3"
"mathd_numbertheory_495"	"0"
"mathd_numbertheory_5"	"0"
"mathd_numbertheory_517"	"26"
"mathd_numbertheory_521"	"0"
"mathd_numbertheory_541"	"0"
